2026-08-22 22:11:21 | INFO | Registration Success | Learner 1 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.33ms
2026-08-22 22:11:21 | INFO | Registration Success | Learner 2 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.05ms
2026-08-22 22:11:21 | INFO | Registration Success | Learner 3 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.03ms
2026-08-22 22:11:21 | INFO | Registration Success | Learner 4 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.03ms
2026-08-22 22:11:21 | INFO | Registration Success | Learner 5 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.03ms
2026-08-22 22:11:21 | INFO | Registration Success | Learner 6 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.03ms
2026-08-22 22:11:21 | INFO | Registration Success | Learner 7 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.03ms
2026-08-22 22:11:21 | INFO | Registration Success | Learner 8 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.03ms
2026-08-22 22:11:21 | INFO | Registration Success | Learner 9 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.03ms
2026-08-22 22:11:21 | INFO | Registration Success | Learner 10 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.03ms
2026-08-22 22:11:21 | INFO | Registration Success |  Learner 1 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.26ms
2026-08-22 22:11:21 | INFO | Registration Success |  Learner 2 registered successfully.
2026-08-22 22:11:21 | INFO | Registration Success |  Learner 3 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.30ms
2026-08-22 22:11:21 | INFO | Registration Success |  Learner 4 registered successfully.
2026-08-22 22:11:21 | INFO | Performance | process_registration completed in 0.35ms
2026-08-22 22:11:21 | ERROR | Registration Failure |  Learner 5 tried to register for: Concurrent Systems: error: Course is full
